name = "Sino-Spanish War of Imperialism"

1819.1.1 = {
	add_attacker = SPA
	add_attacker = TUS
	add_attacker = PAP
	add_attacker = IRE
	add_attacker = AUS
	add_attacker = MAG
	add_defender = MNG
	add_defender = FRA
	add_defender = KOR
	add_defender = PER
	
	# actor
	# receiver
	# casus_belli - cb type
	# country - 3rd party
	# state_province_id - target state capital
	war_goal = {
		casus_belli = humiliate
		actor = SPA
		receiver = MNG
	}

}

1836.1.1 = {
	rem_attacker = SPA
	rem_attacker = TUS
	rem_attacker = PAP
	rem_attacker = IRE
	rem_attacker = AUS
	rem_attacker = MAG
	rem_defender = MNG
	rem_defender = FRA
	rem_defender = KOR
	rem_defender = PER
}
